Mediterranean Avenue,property,60
Community Chest,penalty,0
Baltic Avenue,property,60
Income Tax,penalty,200 or 10% of total cash whichever is greater
Reading Railroad,property,200
Oriental Avenue,property,100
Chance,penalty,0
Vermont Avenue,property,100
Connecticut Avenue,property,120
Jail Visit,penalty,50
St. Charles Place,property,140
Electric Company,property,150
States Avenue,property,140
Virginia Avenue,property,160
Pennsylvania Railroad,property,200
St. James Place,property,180
Community Chest,penalty,0
Tennessee Avenue,property,180
New York Avenue,property,200
Free Parking,penalty,0
Kentucky Avenue,property,220
Chance,penalty,0
Indiana Avenue,property,220
Illinois Avenue,property,240
B. & O. Railroad,property,200
Atlantic Avenue,property,260
Ventnor Avenue,property,260
Water Works,property,150
Marvin Gardens,property,280
Police Bribe,penalty,50
Pacific Avenue,property,300
North Carolina Avenue,property,300
Community Chest,penalty,0
Pennsylvania Avenue,property,320
Short Line,property,200
Chance,penalty,0
Park Place,property,350
Luxury Tax,penalty,75
Boardwalk,property,400
Go,penalty,0
